Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	IDHmut_4 Spectral Count	IDHmut_5 Spectral Count	IDHmut_6 Spectral Count	IDHwt_1 Spectral Count	IDHwt_2 Spectral Count	IDHwt_3 Spectral Count	IDHmut_4 Unique Spectral Count	IDHmut_5 Unique Spectral Count	IDHmut_6 Unique Spectral Count	IDHwt_1 Unique Spectral Count	IDHwt_2 Unique Spectral Count	IDHwt_3 Unique Spectral Count	IDHmut_4 Total Spectral Count	IDHmut_5 Total Spectral Count	IDHmut_6 Total Spectral Count	IDHwt_1 Total Spectral Count	IDHwt_2 Total Spectral Count	IDHwt_3 Total Spectral Count	IDHmut_4 Intensity	IDHmut_5 Intensity	IDHmut_6 Intensity	IDHwt_1 Intensity	IDHwt_2 Intensity	IDHwt_3 Intensity	IDHmut_4 MaxLFQ Intensity	IDHmut_5 MaxLFQ Intensity	IDHmut_6 MaxLFQ Intensity	IDHwt_1 MaxLFQ Intensity	IDHwt_2 MaxLFQ Intensity	IDHwt_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00004|CYC_HORSE	P00004	CYC_HORSE	CYCS	105	Equus caballus	1:Experimental evidence at protein level	Cytochrome c	0.998	0.999	7	4	4	46	1	0	1	1	0	1	1	0	1	1	0	1	10	6	12	5	6	7	5.5151924E7	0.0	0.0	4.106204E7	0.0	2.6392414E7	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P00366|DHE3_BOVIN	P00366	DHE3_BOVIN	GLUD1	558	Bos taurus	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1.0	0.9989	44	4	4	477	1	1	2	0	0	0	1	1	2	0	0	0	110	88	167	38	35	39	2.03866E7	1.01723024E8	5.5815213E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	9	99	97	99	16	20	11	20	14	18	16	20	11	18	14	18	16	20	11	20	14	18	4.2941227E10	9.8061976E10	6.7045118E10	2.99843604E10	8.1807868E10	1.81889532E11	4.8410685E10	4.7989838E10	3.8395417E10	5.9198947E10	4.7041057E10	8.8220582E10	
contam_sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.999	22	64	64	254	7	5	13	14	9	16	7	5	13	14	9	16	26	30	30	34	62	72	1.0629335E9	4.44742368E8	1.88990182E9	2.17063322E9	1.26361728E9	5.3902203E9	5.5862278E8	2.9886896E8	5.14969984E8	7.0021165E8	6.1666112E8	1.4196969E9	
contam_sp|Q7M135|LYSC_LYSEN	Q7M135	LYSC_LYSEN		269	Lysobacter enzymofeatures	1:Experimental evidence at protein level	Lysyl endopeptidase	0.9776	0.999	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	Homo sapiens	3:Protein inferred from homology	Diphosphoinositol polyphosphate phosphohydrolase	0.9902	0.9976	6	2	2	31	1	0	1	0	0	0	1	0	1	0	0	0	9	3	5	3	9	2	1.004408E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6H9|LV469_HUMAN	A0A075B6H9	LV469_HUMAN	IGLV4-69	119	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 4-69	0.9392	0.9972	1	2	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0.0	0.0	0.0	0.0	2270044.2	1.8658388E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens	3:Protein inferred from homology	Immunoglobulin lambda variable 8-61	0.9981	0.999	2	3	3	3	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	2	1	0.0	0.0	0.0	0.0	1.05572504E8	2.10859456E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6J9|LV218_HUMAN	A0A075B6J9	LV218_HUMAN	IGLV2-18	118	Homo sapiens	3:Protein inferred from homology	Immunoglobulin lambda variable 2-18	0.9775	0.999	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	4.2139172E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6K2|LV312_HUMAN	A0A075B6K2	LV312_HUMAN	IGLV3-12	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin lambda variable 3-12	0.9776	0.999	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	5.2922236E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin lambda variable 3-10	0.9968	0.999	2	5	1	5	2	0	1	1	1	0	1	0	0	0	0	0	2	0	1	1	1	0	5.5107048E7	0.0	2.9141604E7	6.669258E7	1.4306336E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6K5|LV39_HUMAN	A0A075B6K5	LV39_HUMAN	IGLV3-9	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin lambda variable 3-9	1.0	0.999	3	4	4	15	2	0	1	0	1	0	2	0	1	0	1	0	5	2	1	0	4	3	2.93902784E8	0.0	3.6030272E7	0.0	1.50091792E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6P5|KV228_HUMAN	A0A075B6P5	KV228_HUMAN	IGKV2-28	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2-28	1.0	0.999	5	14	0	14	2	2	2	3	3	2	0	0	0	0	0	0	2	2	2	3	3	2	7.1107616E8	9.4099232E8	7.0615718E8	6.5076006E8	1.4527113E9	3.006688E9	7.0185683E8	0.0	5.137824E8	4.42553824E8	0.0	0.0	sp|P01615|KVD28_HUMAN
sp|A0A075B6R2|HV404_HUMAN	A0A075B6R2	HV404_HUMAN	IGHV4-4	117	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 4-4	0.9068	0.9955	2	2	2	7	0	0	0	0	1	1	0	0	0	0	1	1	2	1	1	0	1	2	0.0	0.0	0.0	0.0	8.6367392E7	1.01321256E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6S2|KVD29_HUMAN	A0A075B6S2	KVD29_HUMAN	IGKV2D-29	120	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 2D-29	0.9995	0.999	4	5	2	15	3	1	0	0	0	1	2	0	0	0	0	0	4	3	1	2	2	3	1.57756992E8	1.93760144E8	0.0	0.0	0.0	7.4484454E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B767|PAL4H_HUMAN	A0A075B767	PAL4H_HUMAN	PPIAL4H	164	Homo sapiens	3:Protein inferred from homology	Peptidyl-prolyl cis-trans isomerase A-like 4H	0.9985	0.9963	5	9	1	98	2	2	1	1	1	2	0	1	0	0	0	0	28	23	14	10	9	14	3.92921024E8	1.11605456E8	3.63038496E8	1.93991712E8	5.3859514E8	5.9304563E8	3.23556928E8	0.0	0.0	0.0	0.0	4.46339392E8	
sp|A0A087WSX0|LV545_HUMAN	A0A087WSX0	LV545_HUMAN	IGLV5-45	123	Homo sapiens	3:Protein inferred from homology	Immunoglobulin lambda variable 5-45	0.9768	0.999	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	2.5341362E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A087WSY4|HV432_HUMAN	A0A087WSY4	HV432_HUMAN	IGHV4-30-2	118	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 4-30-2	0.9396	0.9972	2	1	1	6	0	0	0	0	0	1	0	0	0	0	0	1	2	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	1.64137584E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11_HUMAN	IGKV3D-11	115	Homo sapiens	3:Protein inferred from homology	Immunoglobulin kappa variable 3D-11	0.9995	0.999	3	8	0	10	1	2	1	1	1	2	0	0	0	0	0	0	1	3	1	1	1	3	3.21932768E8	1.16928064E9	3.79328544E8	1.11771123E9	9.8243507E8	3.10890778E9	0.0	0.0	0.0	0.0	0.0	0.0	sp|P04433|KV311_HUMAN
sp|A0A0A0MS15|HV349_HUMAN	A0A0A0MS15	HV349_HUMAN	IGHV3-49	119	Homo sapiens	3:Protein inferred from homology	Immunoglobulin heavy variable 3-49	0.9995	0.999	3	8	8	9	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	4	3.4517192E7	9.9476888E7	3.1298648E7	3.4845176E7	1.02728224E8	2.98870496E8	0.0	0.0	0.0	0.0	0.0	0.0	
